Id,latin,Latitude,Longitude,lines,district,Closeness Centrality,Betweenness Centrality
虹桥2号航站楼,Hongqiao Airport Terminal 2,31.1969,121.326,Line10-Line2,Minhang,14.575,679.8333333333333
剑川路,Jianchuan Road,31.0281,121.412,Line5,Minhang,20.820833333333333,1175.0
北桥,Beiqiao,31.0469,121.405,Line5,Minhang,19.866666666666667,1404.0
东明路,Dongming Road,31.175,121.506111,Line6,Pudong,13.270833333333334,524.0
西藏南路,South Xizang Road,31.205,121.483,Line4-Line8,Huangpu,10.279166666666667,4233.459065934068
昌吉东路,East Changji Road,31.3104165,121.19875,Line11b,Jiading,21.091666666666665,476.0
新江湾城,Xinjiangwancheng,31.3303,121.502,Line10,Yangpu,18.525,0.0
殷高东路,East Yingao Road,31.3236,121.502,Line10,Yangpu,17.529166666666665,239.0
文井路,Wenjing Road,31.0053,121.376,Line5,Minhang,24.720833333333335,239.0
闵行开发区,Minhang Development Zone,31.0025,121.365,Line5,Minhang,25.716666666666665,0.0
中山北路,North Zhongshan Road,31.2611,121.454,Line1,Zhabei,10.804166666666667,2519.0
镇坪路,Zhenping Road,31.2483,121.425,Line3-Line4-Line7,Putuo,10.1375,5619.233097604156
长寿路,Changshou Road,31.241944,121.433333,Line7,Putuo,10.1375,1242.1742424242423
南浦大桥,Nanpu Bridge,31.2122,121.497,Line4,Huangpu,11.079166666666667,352.49999999999994
塘桥,Tangqiao,31.2119,121.514,Line4,Pudong,11.6,229.5000000000001
共富新村,Gongfu Xincun,31.356111,121.429444,Line1,Baoshan,18.3375,711.0
呼兰路,Hulan Road,31.3417,121.433,Line1,Baoshan,17.366666666666667,944.0
同济大学,Tongji University,31.284444,121.502222,Line10,Yangpu,12.675,1404.0
汉中路,Hanzhong Road,31.2436,121.452,Line1,Zhabei,9.858333333333333,1563.181818181819
衡山路,Hengshan Road,31.2081,121.443,Line1,Xuhui,10.225,1103.0393756827964
老西门,Laoximen,31.220278,121.479167,Line10-Line8,Huangpu,9.554166666666667,3108.453571428573
大场镇,Dachang Town,31.295,121.411389,Line7,Baoshan,14.658333333333333,2079.0
行知路,Xingzhi Road,31.286111,121.416667,Line7,Baoshan,13.7375,2300.0
大华三路,Dahuasan Road,31.2764,121.418,Line7,Baoshan,12.825,2519.0
漕宝路,Caobao Road,31.1703,121.431,Line1,Xuhui,11.675,3419.9491742175965
海天三路,Haitiansan Road,31.1703,121.793,Line2,Pudong,14.783333333333333,814.0
远东大道,Yuandong Avenue,31.2014,121.753,Line2,Pudong,15.7375,585.0
江杨北路,North Jiangyang Road,31.409167,121.434722,Line3,Baoshan,23.329166666666666,0.0
铁力路,Tieli Road,31.41,121.456,Line3,Baoshan,22.333333333333332,239.0
上海图书馆,Shanghai Library,31.209444,121.438611,Line10,Xuhui,10.054166666666667,1141.9792432713484
威宁路,Weining Road,31.2167,121.381,Line2,Changning,11.8625,1256.3333333333337
娄山关路,Loushanguan Road,31.2133,121.395,Line2,Changning,10.958333333333334,1474.8333333333337
东方体育中心,Oriental Sports Center,31.155339,121.475789,Line6-Line8,Pudong,13.695833333333333,1796.0
凌兆新村,Lingzhao Xincun,31.1425,121.485,Line8,Pudong,14.65,1175.0
花木路,Huamu Road,31.212222,121.558611,Line7,Pudong,13.870833333333334,0.0
华宁路,Huaning Road,31.0092,121.39,Line5,Minhang,23.733333333333334,476.0
金平路,Jinping Road,31.0131,121.405,Line5,Minhang,22.754166666666666,711.0
云山路,Yunshan Road,31.2525,121.568,Line6,Pudong,14.954166666666667,2519.0
金桥路,Jinqiao Road,31.2592,121.577,Line6,Pudong,15.866666666666667,2300.0
嘉善路,Jiashan Road,31.204722,121.455833,Line9,Xuhui,10.2875,1151.2800366300366
大世界,Dashijie,31.2294,121.473,Line8,Luwan,9.720833333333333,1545.7499999999977
国权路,Guoquan Road,31.291389,121.505556,Line10,Yangpu,13.629166666666666,1175.0
江浦路,Jiangpu Road,31.2772,121.512,Line8,Yangpu,13.6125,1404.0
鞍山新村,Anshan Xincun,31.2753,121.504,Line8,Yangpu,12.666666666666666,1631.0
通河新村,Tonghe Xincun,31.3319,121.437,Line1,Baoshan,16.404166666666665,1175.0
商城路,Shangcheng Road,31.233056,121.509722,Line9,Pudong,10.85,2162.7843406593424
水城路,Shuicheng Road,31.201111,121.386944,Line10,Changning,13.158333333333333,1251.6666666666665
金科路,Jinke Road,31.2064,121.597,Line2,Pudong,14.783333333333333,814.0
虹桥火车站,Hongqiao Railway Station,31.1958,121.308,Line10-Line2,Minhang,15.5625,239.0
颛桥,Zhuanqiao,31.0686,121.397,Line5,Minhang,18.920833333333334,1631.0
芦恒路,Luheng Road,31.12,121.494,Line8,Minhang,15.6125,944.0
